0438-34	ПЭ270-150-3(МЧ) п/дв 4АЗМ-2000/3000 УХЛ4	ОП
0487-2033	ПЭ100-53	ОП
0533-14	АПЭ 240-80	ОП
0533-15	АПЭ 240-80	ОП
0533-16	АПЭ 240-80	ОП
0556-12	АЦНС 240-1900-3ИМТ	ОП
0590	ЗапЧасти	ЗЧ
0608	ЗапЧасти	ЗЧ
0614-731	Д6300-27-3 б/пл п/дв А4-450У-8МУ3 630кВт	ОП
0614-733	Д6300-27-3 б/пл п/дв А4-450У-8МУ3 630кВт	ОП
0674-57	ПД650-160-2	ОП
0674-58	ПД650-160-2	ОП
0674-59	ПД650-160-2	ОП
0674-60	ПД650-160-2	ОП
0674-61	ПД650-160-2	ОП
0674-62	ПД650-160-2	ОП
0674-63	ПД650-160-2	ОП
0674-64	ПД650-160-2	ОП
0674-65	ПД650-160-2	ОП
0721-4	АКсВА 400-90	ОП
0721-5	АКсВА 400-90	ОП
0721-6	АКсВА 400-90	ОП
0727-1	АПЭНА 2500-75	ОП
0729-10	АД 1800-31,5ТВ3	ОП
0729-11	АД 1800-31,5ТВ3	ОП
0729-12	АД 1800-31,5ТВ3	ОП
0729-7	АД 1800-31,5ТВ3	ОП
0729-8	АД 1800-31,5ТВ3	ОП
0729-9	АД 1800-31,5ТВ3	ОП
0730-10	АД 960-35ТВ3	ОП
0730-11	АД 960-35ТВ3	ОП
0730-12	АД 960-35ТВ3	ОП
0730-7	АД 960-35ТВ3	ОП
0730-8	АД 960-35ТВ3	ОП
0730-9	АД 960-35ТВ3	ОП
0731-3	АКс 50-55-3ТМ4	ОП
0731-4	АКс 50-55-3ТМ4	ОП
0732-10	АЦНСА 750-140А-1	ОП
0732-11	АЦНСА 750-140А-1	ОП
0732-12	АЦНСА 750-140А-1	ОП
0732-13	АЦНСА 750-140А-1	ОП
0732-14	АЦНСА 750-140А-1	ОП
0732-15	АЦНСА 750-140А-1	ОП
0732-16	АЦНСА 750-140А-1	ОП
0732-9	АЦНСА 750-140А-1	ОП
0733-10	АЦНСА 750-140-1	ОП
0733-11	АЦНСА 750-140-1	ОП
0733-12	АЦНСА 750-140-1	ОП
0733-13	АЦНСА 750-140-1	ОП
0733-14	АЦНСА 750-140-1	ОП
0733-15	АЦНСА 750-140-1	ОП
0733-16	АЦНСА 750-140-1	ОП
0733-9	АЦНСА 750-140-1	ОП
0734-10	АЦНА 150-60-1	ОП
0734-11	АЦНА 150-60-1	ОП
0734-12	АЦНА 150-60-1	ОП
0734-13	АЦНА 150-60-1	ОП
0734-14	АЦНА 150-60-1	ОП
0734-15	АЦНА 150-60-1	ОП
0734-16	АЦНА 150-60-1	ОП
0734-9	АЦНА 150-60-1	ОП
0744-10	АЦНА 2000-70	ОП
0744-11	АЦНА 2000-70	ОП
0744-12	АЦНА 2000-70	ОП
0744-13	АЦНА 2000-70	ОП
0744-14	АЦНА 2000-70	ОП
0744-15	АЦНА 2000-70	ОП
0744-16	АЦНА 2000-70	ОП
0744-9	АЦНА 2000-70	ОП
0745-1	АЦНВА 5816-38	ОП
0745-2	АЦНВА 5816-38	ОП
0745-3	АЦНВА 5816-38	ОП
0745-4	АЦНВА 5816-38	ОП
0745-5	АЦНВА 5816-38	ОП
0745-6	АЦНВА 5816-38	ОП
0746-1	АЦНВА 4460-57	ОП
0746-2	АЦНВА 4460-57	ОП
0746-3	АЦНВА 4460-57	ОП
0746-4	АЦНВА 4460-57	ОП
0746-5	АЦНВА 4460-57	ОП
0746-6	АЦНВА 4460-57	ОП
0746-7	АЦНВА 4460-57	ОП
0746-8	АЦНВА 4460-57	ОП
0747-10	АЦНА 130-80-1	ОП
0747-11	АЦНА 130-80-1	ОП
0747-12	АЦНА 130-80-1	ОП
0747-13	АЦНА 130-80-1	ОП
0747-14	АЦНА 130-80-1	ОП
0747-15	АЦНА 130-80-1	ОП
0747-16	АЦНА 130-80-1	ОП
0747-9	АЦНА 130-80-1	ОП
0748-10	АЦНА 63-185	ОП
0748-11	АЦНА 63-185	ОП
0748-12	АЦНА 63-185	ОП
0748-7	АЦНА 63-185	ОП
0748-8	АЦНА 63-185	ОП
0748-9	АЦНА 63-185	ОП
0749-5	АЦНА 160-145	ОП
0749-6	АЦНА 160-145	ОП
0749-7	АЦНА 160-145	ОП
0749-8	АЦНА 160-145	ОП
0750-5	АЦНА 300-80	ОП
0750-6	АЦНА 300-80	ОП
0750-7	АЦНА 300-80	ОП
0750-8	АЦНА 300-80	ОП
0751-5	АЦНА 280-72	ОП
0751-6	АЦНА 280-72	ОП
0751-7	АЦНА 280-72	ОП
0751-8	АЦНА 280-72	ОП
0752-10	АС-Х80-50-250-Кл-5 ТВ3	ОП
0752-11	АС-Х80-50-250-Кл-5 ТВ3	ОП
0752-12	АС-Х80-50-250-Кл-5 ТВ3	ОП
0752-7	АС-Х80-50-250-Кл-5 ТВ3	ОП
0752-8	АС-Х80-50-250-Кл-5 ТВ3	ОП
0752-9	АС-Х80-50-250-Кл-5 ТВ3	ОП
0753-11	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-12	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-13	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-14	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-15	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-16	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-17	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-18	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-19	АС-Х100-65-200-Кл-5 ТВ3	ОП
0753-20	АС-Х100-65-200-Кл-5 ТВ3	ОП
0785-4	АКсВА 1800-170	ОП
0785-5	АКсВА 1800-170	ОП
0785-6	АКсВА 1800-170	ОП
0787-4	АКсВА 2250-220	ОП
0787-5	АКсВА 2250-220	ОП
0787-6	АКсВА 2250-220	ОП
0833	ЗапЧасти	ЗЧ
0860	ЗапЧасти	ЗЧ
0863-35	КСВ 1150-90	ОП
0864-23	АКсВ 1250-45	ОП
0873	ЗапЧасти	ЗЧ
0906-1684	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1685	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1689	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1690	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1691	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1692	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1694	ЦН1000-180-3 б/пл п/дв А4-400У-4У3	ОП
0906-1695	АЦН 1000-180-3	ОП
0906-1696	АЦН 1000-180-3	ОП
0906-1697	АЦН 1000-180-3	ОП
0906-1698	АЦН 1000-180-3	ОП
0906-1699	ЦН 1000-180-3	ОП
0906-1700	ЦН 1000-180-3	ОП
0906-1702	ЦН 1000-180-3	ОП
0915	ЗапЧасти	ЗЧ
0925-237	КсВ500-150-1 дв АОВМ-355L-4У1 315кВт	ОП
0925-238	КсВ500-150-1 дв АОВМ-355L-4У1 315кВт	ОП
0925-239	КсВ500-150-1 дв АОВМ-355L-4У1 315кВт	ОП
0939-1610	Д3200-33-2 б/пл п/дв А4-400Х-6У3 400кВт	ОП
0939-1611	Д3200-33-2 б/пл п/дв А4-400Х-6У3 400кВт	ОП
0939-1620	Д3200-33-2 б/пл п/дв А4-400Х-6У3 400кВт	ОП
0939-1621	Д3200-33-2 б/пл п/дв А4-400Х-6У3 400кВт	ОП
0941-726	Д6300-80-2 б/пл п/дв СДН2-17-56-8У3 2000кВт КОФ	ОП
0941-727	Д6300-80-2 б/пл п/дв СДН2-17-56-8У3 2000кВт КОФ	ОП
0942-1011	Д4000-95-2 п/дв СДН2-16-59-6У3	ОП
0942-1012	Д4000-95-2 п/дв СДН2-16-59-6У3	ОП
0942-1013	Д4000-95-2 п/дв СДН2-16-59-6У3	ОП
0943	ЗапЧасти	ЗЧ
0967-800	АД 2000-21-2	ОП
0991	ЗапЧасти	ЗЧ
1005	ЗапЧасти	ЗЧ
1033	ЗапЧасти	ЗЧ
1056	ЗапЧасти	ЗЧ
1060	ЗапЧасти	ЗЧ
1069	ЗапЧасти	ЗЧ
1093	ЗапЧасти	ЗЧ
1102	ЗапЧасти	ЗЧ
1124	ЗапЧасти	ЗЧ
1144	ЗапЧасти	ЗЧ
1198	ЗапЧасти	ЗЧ
1202	ЗапЧасти	ЗЧ
1205	ЗапЧасти	ЗЧ
1250	ЗапЧасти	ЗЧ
1252	ЗапЧасти	ЗЧ
1287	ЗапЧасти	ЗЧ
1330	ЗапЧасти	ЗЧ
1354	ЗапЧасти	ЗЧ
1385	ЗапЧасти	ЗЧ
1405	ЗапЧасти	ЗЧ
1414	ЗапЧасти	ЗЧ
1427	ЗапЧасти	ЗЧ
1439	ЗапЧасти	ЗЧ
1466	ЗапЧасти	ЗЧ
147в-165	КсД 140-140	ОП
147в-166	КсД 140-140	ОП
147в-167	КсД 140-140	ОП
147в-168	КсД 140-140	ОП
147в-169	КсД 140-140	ОП
1482	ЗапЧасти	ЗЧ
1483	ЗапЧасти	ЗЧ
1484	ЗапЧасти	ЗЧ
1496	ЗапЧасти	ЗЧ
1498	ЗапЧасти	ЗЧ
1503	ЗапЧасти	ЗЧ
150Б-30	НМ 10000-210-2.1	ОП
1545	ЗапЧасти	ЗЧ
1550	ЗапЧасти	ЗЧ
1559	ЗапЧасти	ЗЧ
1560	ЗапЧасти	ЗЧ
1573	ЗапЧасти	ЗЧ
1578	ЗапЧасти	ЗЧ
1585	ЗапЧасти	ЗЧ
1587	ЗапЧасти	ЗЧ
1594	ЗапЧасти	ЗЧ
1596	ЗапЧасти	ЗЧ
1618	ЗапЧасти	ЗЧ
1623	ЗапЧасти	ЗЧ
1629	ЗапЧасти	ЗЧ
1631	ЗапЧасти	ЗЧ
1632	ЗапЧасти	ЗЧ
1634	ЗапЧасти	ЗЧ
1636	ЗапЧасти	ЗЧ
1638	ЗапЧасти	ЗЧ
1639	ЗапЧасти	ЗЧ
1644	ЗапЧасти	ЗЧ
1648	ЗапЧасти	ЗЧ
1654	ЗапЧасти	ЗЧ
1656	ЗапЧасти	ЗЧ
1658	ЗапЧасти	ЗЧ
1664	ЗапЧасти	ЗЧ
1668	ЗапЧасти	ЗЧ
1672	ЗапЧасти	ЗЧ
1675	ЗапЧасти	ЗЧ
1676	ЗапЧасти	ЗЧ
1679	ЗапЧасти	ЗЧ
1680	ЗапЧасти	ЗЧ
1686	ЗапЧасти	ЗЧ
1688	ЗапЧасти	ЗЧ
1694	ЗапЧасти	ЗЧ
1701	ЗапЧасти	ЗЧ
1702	ЗапЧасти	ЗЧ
1703	ЗапЧасти	ЗЧ
1704	ЗапЧасти	ЗЧ
1708	ЗапЧасти	ЗЧ
1715	ЗапЧасти	ЗЧ
1716	ЗапЧасти	ЗЧ
1717	ЗапЧасти	ЗЧ
1718	ЗапЧасти	ЗЧ
1719	ЗапЧасти	ЗЧ
1720	ЗапЧасти	ЗЧ
1721	ЗапЧасти	ЗЧ
1722	ЗапЧасти	ЗЧ
1723	ЗапЧасти	ЗЧ
1724	ЗапЧасти	ЗЧ
1725	ЗапЧасти	ЗЧ
1726	ЗапЧасти	ЗЧ
1727	ЗапЧасти	ЗЧ
1730	ЗапЧасти	ЗЧ
1731	ЗапЧасти	ЗЧ
1733	ЗапЧасти	ЗЧ
1735	ЗапЧасти	ЗЧ
1736	ЗапЧасти	ЗЧ
1737	ЗапЧасти	ЗЧ
1739	ЗапЧасти	ЗЧ
1740	ЗапЧасти	ЗЧ
1741	ЗапЧасти	ЗЧ
1742	ЗапЧасти	ЗЧ
1745	ЗапЧасти	ЗЧ
1746	ЗапЧасти	ЗЧ
1747	ЗапЧасти	ЗЧ
1749	ЗапЧасти	ЗЧ
1750	ЗапЧасти	ЗЧ
1752	ЗапЧасти	ЗЧ
1753	ЗапЧасти	ЗЧ
1754	ЗапЧасти	ЗЧ
1758	ЗапЧасти	ЗЧ
1760	ЗапЧасти	ЗЧ
1761	ЗапЧасти	ЗЧ
1762	ЗапЧасти	ЗЧ
1763	ЗапЧасти	ЗЧ
1764	ЗапЧасти	ЗЧ
1766	ЗапЧасти	ЗЧ
1767	ЗапЧасти	ЗЧ
1768	ЗапЧасти	ЗЧ
1769	ЗапЧасти	ЗЧ
1770	ЗапЧасти	ЗЧ
1776	ЗапЧасти	ЗЧ
1777	ЗапЧасти	ЗЧ
1778	ЗапЧасти	ЗЧ
1779	ЗапЧасти	ЗЧ
1783	ЗапЧасти	ЗЧ
1785	ЗапЧасти	ЗЧ
1787	ЗапЧасти	ЗЧ
1788	ЗапЧасти	ЗЧ
1789	ЗапЧасти	ЗЧ
1790	ЗапЧасти	ЗЧ
1791	ЗапЧасти	ЗЧ
1792	ЗапЧасти	ЗЧ
1793	ЗапЧасти	ЗЧ
1794	ЗапЧасти	ЗЧ
1796	ЗапЧасти	ЗЧ
1799	ЗапЧасти	ЗЧ
1800	ЗапЧасти	ЗЧ
1801	ЗапЧасти	ЗЧ
1802	ЗапЧасти	ЗЧ
1803	ЗапЧасти	ЗЧ
1804	ЗапЧасти	ЗЧ
1805	ЗапЧасти	ЗЧ
1810	ЗапЧасти	ЗЧ
1813	ЗапЧасти	ЗЧ
1815	ЗапЧасти	ЗЧ
1816	ЗапЧасти	ЗЧ
1818	ЗапЧасти	ЗЧ
1819	ЗапЧасти	ЗЧ
1820	ЗапЧасти	ЗЧ
1822	ЗапЧасти	ЗЧ
1823	ЗапЧасти	ЗЧ
1824	ЗапЧасти	ЗЧ
1825	ЗапЧасти	ЗЧ
1826	ЗапЧасти	ЗЧ
1828	ЗапЧасти	ЗЧ
1829	ЗапЧасти	ЗЧ
1830	ЗапЧасти	ЗЧ
1832	ЗапЧасти	ЗЧ
1833	ЗапЧасти	ЗЧ
1834	ЗапЧасти	ЗЧ
1836	ЗапЧасти	ЗЧ
1838	ЗапЧасти	ЗЧ
1839	ЗапЧасти	ЗЧ
1840	ЗапЧасти	ЗЧ
1841	ЗапЧасти	ЗЧ
1842	ЗапЧасти	ЗЧ
1843	ЗапЧасти	ЗЧ
1844	ЗапЧасти	ЗЧ
1846	ЗапЧасти	ЗЧ
1847	ЗапЧасти	ЗЧ
1848	ЗапЧасти	ЗЧ
1850	ЗапЧасти	ЗЧ
1851	ЗапЧасти	ЗЧ
1852	ЗапЧасти	ЗЧ
1853	ЗапЧасти	ЗЧ
1854	ЗапЧасти	ЗЧ
1858	ЗапЧасти	ЗЧ
1859	ЗапЧасти	ЗЧ
1860	ЗапЧасти	ЗЧ
1861	ЗапЧасти	ЗЧ
1862	ЗапЧасти	ЗЧ
1863	ЗапЧасти	ЗЧ
1864	ЗапЧасти	ЗЧ
1865	ЗапЧасти	ЗЧ
1866	ЗапЧасти	ЗЧ
1867	ЗапЧасти	ЗЧ
1868	ЗапЧасти	ЗЧ
1869	ЗапЧасти	ЗЧ
1870	ЗапЧасти	ЗЧ
1871	ЗапЧасти	ЗЧ
1872	ЗапЧасти	ЗЧ
1873	ЗапЧасти	ЗЧ
1878	ЗапЧасти	ЗЧ
1879	ЗапЧасти	ЗЧ
1880	ЗапЧасти	ЗЧ
1882	ЗапЧасти	ЗЧ
1883	ЗапЧасти	ЗЧ
1899	ЗапЧасти	ЗЧ
1900	ЗапЧасти	ЗЧ
1901	ЗапЧасти	ЗЧ
1902	ЗапЧасти	ЗЧ
1903	ЗапЧасти	ЗЧ
1904	ЗапЧасти	ЗЧ
1905	ЗапЧасти	ЗЧ
1910	ЗапЧасти	ЗЧ
1924	ЗапЧасти	ЗЧ
1932	ЗапЧасти	ЗЧ
1933	ЗапЧасти	ЗЧ
1937	ЗапЧасти	ЗЧ
1941	ЗапЧасти	ЗЧ
1958	ЗапЧасти	ЗЧ
1959	ЗапЧасти	ЗЧ
1964	ЗапЧасти	ЗЧ
1965	ЗапЧасти	ЗЧ
1969	ЗапЧасти	ЗЧ
1970	ЗапЧасти	ЗЧ
1978	ЗапЧасти	ЗЧ
1987	ЗапЧасти	ЗЧ
1989	ЗапЧасти	ЗЧ
198Б-87	АД 12500-24 М	ОП
1990	ЗапЧасти	ЗЧ
1991	ЗапЧасти	ЗЧ
1992	ЗапЧасти	ЗЧ
1993	ЗапЧасти	ЗЧ
1994	ЗапЧасти	ЗЧ
1996	ЗапЧасти	ЗЧ
1997	ЗапЧасти	ЗЧ
1999	ЗапЧасти	ЗЧ
2000	ЗапЧасти	ЗЧ
2001	ЗапЧасти	ЗЧ
2002	ЗапЧасти	ЗЧ
2003	ЗапЧасти	ЗЧ
2004	ЗапЧасти	ЗЧ
2005	ЗапЧасти	ЗЧ
2006	ЗапЧасти	ЗЧ
2007	ЗапЧасти	ЗЧ
2008	ЗапЧасти	ЗЧ
2012	ЗапЧасти	ЗЧ
2013	ЗапЧасти	ЗЧ
2014	ЗапЧасти	ЗЧ
2015	ЗапЧасти	ЗЧ
2016	ЗапЧасти	ЗЧ
2017	ЗапЧасти	ЗЧ
2018	ЗапЧасти	ЗЧ
2019	ЗапЧасти	ЗЧ
2020	ЗапЧасти	ЗЧ
2021	ЗапЧасти	ЗЧ
2022	ЗапЧасти	ЗЧ
2023	ЗапЧасти	ЗЧ
2025	ЗапЧасти	ЗЧ
2026	ЗапЧасти	ЗЧ
2027	ЗапЧасти	ЗЧ
2028	ЗапЧасти	ЗЧ
2029	ЗапЧасти	ЗЧ
2030	ЗапЧасти	ЗЧ
2031	ЗапЧасти	ЗЧ
2033	ЗапЧасти	ЗЧ
2034	ЗапЧасти	ЗЧ
2037	ЗапЧасти	ЗЧ
2040	ЗапЧасти	ЗЧ
2042	ЗапЧасти	ЗЧ
2043	ЗапЧасти	ЗЧ
465а-856	ПЭ 65-40	ОП
465а-857	ПЭ 65-40	ОП
506Б-68	ЦНС 180-1422	ОП
607Ж-7	АНОУ 40-420	ОП
607Ж-8	АНОУ 40-420	ОП
625А-354	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
625А-355	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
625А-356	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
625А-357	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
625А-358	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
625А-359	КсВ500-85-1 п/дв АО4-355Х-6УХЛ3	ОП
786Г-130	ПЭ580-185-5 п/дв 4АЗМ-5000/6000 м/у сетка дрос устр (2шт) сетка	ОП
786Г-131	ПЭ580-185-5 п/дв 4АЗМ-5000/6000 м/у сетка дрос устр (2шт) сетка	ОП
786Г-136	АПЭ 580-185-5	ОП
786Г-137	АПЭ 580-185-6	ОП
786Д-132	АПЭ 580-195-5	ОП
786Д-133	АПЭ 580-195-5	ОП
786Д-134	АПЭ 580-195-5	ОП
786Д-135	АПЭ 580-195-5	ОП
7929	ЗапЧасти	ЗЧ
8730	ЗапЧасти	ЗЧ
8733	ЗапЧасти	ЗЧ
8858	ЗапЧасти	ЗЧ
8908	ЗапЧасти	ЗЧ
8999	ЗапЧасти	ЗЧ
9000	ЗапЧасти	ЗЧ
9001	ЗапЧасти	ЗЧ
9002	ЗапЧасти	ЗЧ
9003	ЗапЧасти	ЗЧ
9131	ЗапЧасти	ЗЧ
9132	ЗапЧасти	ЗЧ
9133	ЗапЧасти	ЗЧ
9134	ЗапЧасти	ЗЧ
9135	ЗапЧасти	ЗЧ
9136	ЗапЧасти	ЗЧ
9368	ЗапЧасти	ЗЧ
9581	ЗапЧасти	ЗЧ
ВЗ0001	Інше виробниче замовлення	PП
ГР4221	Гарантийный ремонт	ОП
ПР0001	Перед-контрактні роботи з підготовки ТКП	PП
ПР0002	Інші роботи для ІМЦ/УЗЕД (не для ТКП)	PП
ПР0003	Перспективні розробки без замовлення	PП
ПР0004	Науково-дослідні роботи	PП
ПР0005	Інші роботи загального характеру (без замовлення)	PП
РЗ0001	Разові замовлення	PП
